"ew","mv_Markowitz","mv_MichaudParam","mv_MichaudNonP","mv_MarkowitzPCA","mv_FactorParamPCA","mv_FactorNonPPCA","mv_MarkowitzObs","mv_FactorParamObs","mv_FactorNonPObs","ew","ef_Markowitz","ef_MichaudParam","ef_MichaudNonP","ef_MarkowitzPCA","ef_FactorParamPCA","ef_FactorNonPPCA","ef_MarkowitzObs","ef_FactorParamObs","ef_FactorNonPObc"
"16",0.02,0.136615939196,0.106593282481,0.103381899375,0.13254078948,0.100999042301,0.098025552543,0.13256119106,0.101709296964,0.101201787226,0.02,0.136615939196,0.106593282481,0.103381899375,0.13254078948,0.100999042301,0.098025552543,0.13256119106,0.101709296964,0.101201787226
"17",0.02,0.131458720468,0.101182397401,0.098699192809,0.126046645711,0.098382082947,0.095647283903,0.126061976845,0.097032195005,0.095245543778,0.02,0.131458720468,0.101182397401,0.098699192809,0.126046645711,0.098382082947,0.095647283903,0.126061976845,0.097032195005,0.095245543778
"18",0.02,0.134903974732,0.106843246849,0.102663314158,0.135220374228,0.104835268252,0.102757220251,0.135220042526,0.105980357216,0.10565199422,0.02,0.134903974732,0.106843246849,0.102663314158,0.135220374228,0.104835268252,0.102757220251,0.135220042526,0.105980357216,0.10565199422
"19",0.02,0.136233333025,0.105552139546,0.102857180794,0.132113096454,0.107214956007,0.104775268792,0.132110260577,0.106078083268,0.104603447963,0.02,0.136233333025,0.105552139546,0.102857180794,0.132113096454,0.107214956007,0.104775268792,0.132110260577,0.106078083268,0.104603447963
"20",0.0204081632653061,0.132461487463,0.105540111678,0.103925084752,0.130621968715,0.104936826323,0.103311510957,0.130622346567,0.104898340501,0.104118621255,0.0204081632653061,0.132461487463,0.105540111678,0.103925084752,0.130621968715,0.104936826323,0.103311510957,0.130622346567,0.104898340501,0.104118621255
"21",0.0196078431372549,0.12724127159,0.100940240225,0.097390244223,0.127619334406,0.100299066445,0.098176320909,0.127616265404,0.101152826555,0.097242075163,0.0196078431372549,0.12724127159,0.100940240225,0.097390244223,0.127619334406,0.100299066445,0.098176320909,0.127616265404,0.101152826555,0.097242075163
"22",0.0208333333333333,0.127407029444,0.104318744553,0.10042589252,0.126414030559,0.103040263943,0.10124507187,0.126409847512,0.104449948887,0.101964820698,0.0208333333333333,0.127407029444,0.104318744553,0.10042589252,0.126414030559,0.103040263943,0.10124507187,0.126409847512,0.104449948887,0.101964820698
"23",0.0212765957446809,0.126535355607,0.10494198694,0.100775625344,0.12609162562,0.105445192572,0.102591204258,0.126086876453,0.104068727284,0.100978515665,0.0212765957446809,0.126535355607,0.10494198694,0.100775625344,0.12609162562,0.105445192572,0.102591204258,0.126086876453,0.104068727284,0.100978515665
"24",0.0212765957446809,0.116227153729,0.096446484715,0.092847845381,0.10701485177,0.08677810457,0.083943911379,0.10700139241,0.086931019543,0.086129026941,0.0212765957446809,0.116227153729,0.096446484715,0.092847845381,0.10701485177,0.08677810457,0.083943911379,0.10700139241,0.086931019543,0.086129026941
"25",0.0217391304347826,0.107200047239,0.085368828768,0.085297148418,0.10689967897,0.083513604135,0.081783800261,0.10688639217,0.082707747219,0.081053256768,0.0217391304347826,0.107200047239,0.085368828768,0.085297148418,0.10689967897,0.083513604135,0.081783800261,0.10688639217,0.082707747219,0.081053256768
"26",0.0238095238095238,0.127034926297,0.100510847052,0.099325892132,0.127824510836,0.101342154602,0.100674185238,0.127818193706,0.1001333511,0.099127660496,0.0238095238095238,0.127034926297,0.100510847052,0.099325892132,0.127824510836,0.101342154602,0.100674185238,0.127818193706,0.1001333511,0.099127660496
"27",0.0238095238095238,0.126268237334,0.101938960956,0.097970627319,0.126710963139,0.100791721205,0.101756616148,0.126705700463,0.101749442987,0.099241662904,0.0238095238095238,0.126268237334,0.101938960956,0.097970627319,0.126710963139,0.100791721205,0.101756616148,0.126705700463,0.101749442987,0.099241662904
"28",0.0238095238095238,0.12715644175,0.100513121176,0.099856506783,0.126262644508,0.101056623925,0.101710333374,0.126253634104,0.101075396122,0.099933930119,0.0238095238095238,0.12715644175,0.100513121176,0.099856506783,0.126262644508,0.101056623925,0.101710333374,0.126253634104,0.101075396122,0.099933930119
"29",0.0238095238095238,0.126285872118,0.101132155687,0.099765304616,0.123517422451,0.098377194202,0.096602202235,0.123503536311,0.099433544508,0.095806627646,0.0238095238095238,0.126285872118,0.101132155687,0.099765304616,0.123517422451,0.098377194202,0.096602202235,0.123503536311,0.099433544508,0.095806627646
"30",0.0238095238095238,0.123789357362,0.100744686103,0.097033213159,0.122978012187,0.098081703845,0.09644989788,0.122966433227,0.09771585166,0.096224804782,0.0238095238095238,0.123789357362,0.100744686103,0.097033213159,0.122978012187,0.098081703845,0.09644989788,0.122966433227,0.09771585166,0.096224804782
"31",0.0238095238095238,0.124835606497,0.100171629277,0.097024721674,0.12084056392,0.095480027075,0.094784678619,0.120830007782,0.096035454502,0.09529441873,0.0238095238095238,0.124835606497,0.100171629277,0.097024721674,0.12084056392,0.095480027075,0.094784678619,0.120830007782,0.096035454502,0.09529441873
"32",0.0238095238095238,0.121265136276,0.09563394459,0.094971300201,0.12326584125,0.097232253804,0.099797076798,0.123259843784,0.100226196127,0.094804459443,0.0238095238095238,0.121265136276,0.09563394459,0.094971300201,0.12326584125,0.097232253804,0.099797076798,0.123259843784,0.100226196127,0.094804459443
