"True","Estim","ParamBoot","Boot","FactorParamBoot","FactorBoot"
"38",5.60296816926858,5.61514544052996,5.63780905743912,5.65209018843544,5.64542031196575,5.63964730462481
"39",1.62976701651977,1.67654484366293,1.67032466015922,1.68421153835967,1.66476361789115,1.64680123779824
"40",4.64877887384311,4.62208840824552,4.61697016254091,4.62031066921315,4.62395937513444,4.61917521223843
"41",2.77553802931546,3.1163158146871,3.09053573389292,3.08177020961589,3.12935499448683,3.12659130772699
"42",2.31028638503299,2.39714235385708,2.41826745506549,2.40292962111503,2.31631670403383,2.37792259670698
"43",3.72366618926693,3.79753327962147,3.79125787408367,3.79239818772066,3.81313518592899,3.80208030153632
"44",5.02364060235452,4.66135467386861,4.71076912877523,4.7193974258783,4.66845978856933,4.68085132404708
"45",2.14142444762123,2.23839272189695,2.25577629372435,2.22985771293044,2.20568254396347,2.21389335136358
"46",5.68087144507382,5.70736894524916,5.71787911810344,5.70355347407703,5.68650611473235,5.70679281403057
"47",4.33592218690353,4.32466212086406,4.32369485142049,4.34072745297482,4.33742033449008,4.32467005505447
"48",3.83066475579033,3.85522107569972,3.86241266554472,3.85704474295255,3.85508349133792,3.85914651604939
"49",4.89225373916989,5.18828879105626,5.14045600188673,5.14511474550994,5.06871246547215,5.11726774524654
"50",5.26590814840281,5.09059069898237,5.05879217446704,5.07794673604683,5.08159180024762,5.07967544110828
"51",16.4067132763549,17.0326166481481,17.4312905719722,17.3110099590682,17.504349198208,17.4814014480587
"52",0.861002867879578,0.8923806560666,0.888906337348598,0.892375823123127,0.887441217304731,0.897901206522151
"53",2.61831614472867,2.63788500054149,2.6336109135099,2.65591278077514,2.62212714337836,2.67510974280836
"54",3.1670505077128,3.18554538484621,3.196245070685,3.18738194732524,3.18313162408418,3.18682689099431
"55",6.40237201911971,6.33864535137435,6.34916749874887,6.34601341791006,6.3545165037188,6.35089548092714
"56",1.25756385550504,1.35116761950014,1.35075174613701,1.35791433705928,1.34951698847279,1.35884544901007
"57",12.2693262528163,12.002285146572,11.9218615213351,11.9075153164174,11.9816448262467,11.8725524761782
"58",1.57120501458311,1.57535362427504,1.5742265158747,1.57865975127097,1.57736011436865,1.57559228923021
"59",9.11609621124896,9.29025446317056,9.25071518704902,9.26178380281633,9.27006440939339,9.28321785405078
"60",3.25528562214389,3.27097047801025,3.27643819627385,3.26893994132095,3.27429076274528,3.26797508846243
"61",1.48187713341911,1.3880342093007,1.38675931844058,1.39669595291144,1.38788537708865,1.39414069797789
"62",3.48882912996544,3.43486527504685,3.43348168626979,3.43872026986166,3.43392675774838,3.43044007069418
"63",2.99144076894377,3.05167445616786,3.04876974503157,3.05144886491291,3.04844726507879,3.04945537151857
